abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.0001601420337127,0.0134418124215568,878,817,1002367,0.7,22-0
0.0004309340993192,0.0100328273575845,2126,1547,1042156,0.7,22-0
0.0001185114217606,0.0075371753001539,1128,1001,1121100,0.7,22-0
0.0003529544367626,0.0185667840324549,1251,1091,1121101,0.7,22-0
0.0001153022948886,0.0016301722297628,1235,1092,1121114,0.7,22-0
0.0027737869345116,1.0198672636968504e-09,1249,1132,1121115,0.7,22-0
0.0001099686384177,0.0073942344489935,1221,1094,1121130,0.7,22-0
0.0002444774199571,0.0006720189811805,1215,1065,1121333,0.7,22-0
0.0001362958027648,0.0089410557051005,1042,964,1122975,0.7,22-0
0.0001106421231642,0.0038722383496902,1123,979,1123263,0.7,22-0
0.0004421638351047,0.0002560598971538,1081,1001,1123313,0.7,22-0
0.0004284035093299,0.0227445487802148,1137,1029,1150460,0.7,22-0
0.000190415895315,0.0004158401629593,1032,926,1160721,0.7,22-0
0.0003578534609953,5.328525406462069e-05,1915,1442,1203606,0.7,22-0
0.0004452858800973,0.0232316674536188,1101,996,1203611,0.7,22-0
0.0001685189548363,0.0019985420092089,1263,1120,1233170,0.7,22-0
0.0057320075375284,7.247526014011996e-10,1129,1030,1256908,0.7,22-0
0.0001601044074422,0.0023124680915173,1274,1138,1292036,0.7,22-0
0.0007330467357729,0.0259632615852528,2648,1499,1322347,0.7,22-0
0.0001115835722506,0.0105850493106961,942,904,1384484,0.7,22-0
0.0002735312611171,0.0003924609476374,1147,1069,1408437,0.7,22-0
0.0004425103741489,0.0259303963631,1117,1009,1410647,0.7,22-0
0.0043120584850938,0.2180686236624937,1064,980,1437612,0.7,22-0
0.0006495820951553,0.0244308265259092,2648,1499,205913,0.7,22-0
0.0006525923280776,0.0251213058106375,2648,1499,206672,0.7,22-0
0.0001614592523489,0.0017094965988966,1404,1140,213810,0.7,22-0
0.0003777985702599,0.0202001408055112,2524,1549,226186,0.7,22-0
0.0004675705231251,4.117863633969137e-09,1190,1005,347253,0.7,22-0
0.0013801325807983,2.6900440127560407e-10,2274,1386,349741,0.7,22-0
0.003671075408097,0.185653916829058,1129,991,367928,0.7,22-0
0.0001210331554709,0.0080280194729005,2648,1499,391904,0.7,22-0
0.0007982877257738,0.0313094923796149,2331,1424,398513,0.7,22-0
