abundance,growth_rate,taxon,sample_id
0.0004681555698918,0.0100867921866503,1002367,SRR9224227
0.001540812950051,0.0134521516490731,1077285,SRR9224227
0.0058198399333178,0.0477119377852155,1121100,SRR9224227
0.0003307018032712,0.0053368379396677,1121101,SRR9224227
0.0020968657613724,0.0172669881705983,1121115,SRR9224227
0.0003983335479985,0.0047083965292597,1122975,SRR9224227
0.0003361385861371,0.0051826863863044,1122981,SRR9224227
0.0030363902882309,0.0248638616676497,1160721,SRR9224227
0.0009350910659396,0.0081206819778845,1203606,SRR9224227
0.0001063363982786,0.005544052666354,1203610,SRR9224227
0.0005679815819346,0.0078865255974103,1203611,SRR9224227
0.0002729581304927,0.0070423629298427,1235789,SRR9224227
0.0001865375934779,0.0015283676571071,1235811,SRR9224227
0.0004362106310051,0.0089576631802125,1256908,SRR9224227
0.0001678571309366,0.0031528279111984,1547,SRR9224227
0.1032665547502335,0.8455188260948415,226186,SRR9224227
0.0187428150393962,0.1534625411406897,264199,SRR9224227
0.0326616988391311,0.2674264635528375,272559,SRR9224227
0.0336940290487697,0.2758788943939781,295405,SRR9224227
0.0006021158840101,0.0055809738509421,347253,SRR9224227
0.0003299980410327,0.0040633070336322,411459,SRR9224227
0.0003697703696083,0.0044594093414935,411461,SRR9224227
0.0014859933610808,0.0130335042966049,411462,SRR9224227
0.00014232343068,0.0024046568663646,411463,SRR9224227
0.0018515100600527,0.0153523419957505,411470,SRR9224227
0.0001467902600626,0.0029505151808227,411471,SRR9224227
0.0029931523173977,0.0245555920866132,411475,SRR9224227
0.0368493672372798,0.3017138796258123,411476,SRR9224227
0.0173284329852666,0.1418819732248701,411477,SRR9224227
0.0042243366944046,0.0345892713491164,411479,SRR9224227
0.0057185506615286,0.0468234741488522,411483,SRR9224227
0.0003853063087109,0.0031560531048163,411484,SRR9224227
0.0054335035515257,0.0444895860258724,411485,SRR9224227
0.0008517007891803,0.0069749134017026,411486,SRR9224227
0.000160840637587,0.0013179137462108,411487,SRR9224227
0.0006671665218229,0.0054639597090285,411489,SRR9224227
0.000370915135223,0.0043381979561461,411901,SRR9224227
0.0001218246847406,0.0016628263113568,411902,SRR9224227
0.0001829878275311,0.0025063741324067,428127,SRR9224227
0.080169205088143,0.6564046174915896,435590,SRR9224227
0.0005124889380959,0.0088045730766783,435591,SRR9224227
0.0023860999011461,0.0246519893231271,445970,SRR9224227
0.0002590665178717,0.0035477090856834,445972,SRR9224227
0.0035960549963651,0.0294450719173238,449673,SRR9224227
0.0004905727730915,0.0040180040719283,450749,SRR9224227
0.0151574510314488,0.1241065783882499,457387,SRR9224227
0.0029285284633889,0.0239795166790284,457388,SRR9224227
0.0341466398542389,0.2795847053435094,457390,SRR9224227
0.0072410120529753,0.0592889712873057,457391,SRR9224227
0.0313090668890622,0.2563514630612953,457392,SRR9224227
0.0008882964362209,0.0072745557335229,457393,SRR9224227
0.057934790744525,0.4743549875341999,457394,SRR9224227
0.0059265090457537,0.0485261808220273,457395,SRR9224227
0.0019167914207432,0.0156956669961214,457412,SRR9224227
0.0004700910849673,0.0038502966345058,457416,SRR9224227
0.0001459972272214,0.0031435881607496,457421,SRR9224227
0.0027365865109179,0.0224079423613399,457424,SRR9224227
0.0180313478746513,0.1476372451001535,469585,SRR9224227
0.0069395604045865,0.0568207680267808,469588,SRR9224227
0.0002130053889221,0.0017451212139553,469589,SRR9224227
0.03362015479081,0.2752739939860036,469590,SRR9224227
0.0018832060494691,0.0154206759979686,469591,SRR9224227
0.0012505603897026,0.0102407127908282,469592,SRR9224227
0.0600015602797511,0.491277593916588,469593,SRR9224227
0.009683287668971,0.0792856552377405,470145,SRR9224227
0.0011234565753409,0.0092000575426165,470146,SRR9224227
0.0015286934587136,0.0127154651143652,471870,SRR9224227
0.0001409248854636,0.0027927423824586,476272,SRR9224227
0.000350740730858,0.0053565402190471,479436,SRR9224227
0.0048243226850026,0.0395017980784396,483215,SRR9224227
0.0013377873387412,0.0109549092992855,483216,SRR9224227
0.00593246524101,0.0485749635305646,483217,SRR9224227
0.0001414810377675,0.0023123619204319,483218,SRR9224227
0.0009899087353257,0.0086540299811799,484018,SRR9224227
0.0002126294177555,0.0048888651676284,500632,SRR9224227
0.0001527703558233,0.0040605860725898,511680,SRR9224227
0.0021231220074878,0.017385048884137,515619,SRR9224227
0.0027109396730658,0.0221979859759482,537006,SRR9224227
0.0001054346231826,0.002180517286735,537007,SRR9224227
0.0001254732172931,0.0022893722888126,537011,SRR9224227
0.0001915766948973,0.0035804514109906,537012,SRR9224227
0.0004209242954795,0.0042919362512741,545696,SRR9224227
0.0001744170610569,0.0049738072074401,546273,SRR9224227
0.0009454458337841,0.0080204650060737,547042,SRR9224227
0.0002841103363259,0.0052700108368679,547043,SRR9224227
0.0003191677840802,0.003990087636751,552398,SRR9224227
0.0070052638073344,0.0573587294442821,556258,SRR9224227
0.0238997148176614,0.1956857931432647,556259,SRR9224227
0.0001539518405811,0.0012614916153762,556270,SRR9224227
0.0011995169273936,0.0102897121166955,563193,SRR9224227
0.0001831928123433,0.0015009775712777,566550,SRR9224227
0.0022255040608136,0.020243744467095,568816,SRR9224227
0.0002372717585642,0.0042956324602342,585394,SRR9224227
0.0003332821807872,0.0027300573749278,585543,SRR9224227
0.0147065550715075,0.1204147677741821,585544,SRR9224227
0.0001793578759876,0.0034028570499603,592028,SRR9224227
0.0006797544900431,0.0063516318710399,622312,SRR9224227
0.0003635000175955,0.0078442708000436,649757,SRR9224227
