abundance,growth_rate,taxon,sample_id,degree_centrality
0.0001310573016268,0.0127483941756166,1002367,16-0,15.617977528089888
0.0003825705157318,2.417004899960722e-11,1042156,16-0,27.40449438202247
0.0001295930165817,0.0063105897282141,1042403,16-0,28.129213483146067
0.0001525285762578,0.01031755421541,1121100,16-0,16.39887640449438
0.0001289105558967,0.0149055963769617,1121111,16-0,18.93258426966292
0.0003508964227174,1.3022752213693734e-11,1121114,16-0,19.45505617977528
0.0328837233267292,4.1539124811955313e-13,1121115,16-0,19.99438202247191
0.0007115363447143,3.930461574423824e-12,1121333,16-0,22.837078651685392
0.0002054365776153,1.7417360926063787e-11,1121334,16-0,18.46629213483146
0.0005479037946721,4.311875919762763e-12,1121344,16-0,16.769662921348313
0.0001547779171968,1.3358128868606758e-11,1122950,16-0,24.6123595505618
0.0002455941556354,1.2289841310108305e-11,1123075,16-0,18.477528089887638
0.0001410549977743,1.5923210426803405e-11,1123263,16-0,19.073033707865168
0.0002302398348905,1.2483151115167151e-11,1123313,16-0,12.095505617977528
0.0002645463568703,0.0155568839450361,1150460,16-0,19.5561797752809
0.0447023793955005,1.1006655854621225e-12,1160721,16-0,21.662921348314605
0.0006419109694048,3.169196565166212e-12,1203606,16-0,24.41573033707865
0.0018516583325273,0.0916283435985046,1203611,16-0,21.04494382022472
0.0001627769652263,3.2940408689912136e-11,1211844,16-0,18.90449438202247
0.000111388807231,0.0091774655210202,1254439,16-0,21.078651685393258
0.0127150677605518,1.0455685075032625e-12,1256908,16-0,14.235955056179774
0.0012104466652749,5.4976908014529485e-11,1322347,16-0,37.758426966292134
0.0026300354890495,0.1301340120523782,1384484,16-0,21.573033707865168
0.00070326302551,3.1140683252307904e-12,1408437,16-0,18.084269662921347
0.0002915047469548,0.0163924570011664,1410645,16-0,23.51123595505618
0.0022812867884905,0.1128851166573836,1410647,16-0,31.584269662921347
0.0224996393174854,1.1131279888652992,1437612,16-0,32.69662921348314
0.0001983457857649,3.841273264470881e-11,1547,16-0,19.859550561797754
0.0012515959049995,4.995008037543334e-11,205913,16-0,37.741573033707866
0.0012110000896756,5.6065840250977386e-11,206672,16-0,37.741573033707866
0.000154733664595,2.3448209443932542e-11,207244,16-0,24.60674157303371
0.0003790449176826,1.353313140190162e-11,213810,16-0,21.589887640449437
0.0053954730657645,3.708575555071438e-12,264199,16-0,16.578651685393258
0.0006964554961481,9.592435884396562e-12,272621,16-0,25.719101123595504
0.0006897218875894,4.385870988879844e-12,347253,16-0,20.97191011235955
0.1680837803912419,0.8504949437251971,349741,16-0,49.58426966292134
0.0001056926907893,0.0093749488586034,352165,16-0,23.06741573033708
0.0181402161538706,0.8974741511736606,367928,16-0,38.98876404494382
0.0002092649757532,0.0072076610167135,391904,16-0,33.264044943820224
0.0029021002311957,2.340354000596974e-12,411459,16-0,18.39887640449438
0.0044387380399062,8.93457678438069e-13,411460,16-0,34.2247191011236
0.0066434267399842,1.4415647810757764e-12,411461,16-0,27.426966292134832
0.0186785900567818,7.331903874523248e-13,411462,16-0,23.719101123595504
0.0031403449420867,6.888855808344903e-12,411463,16-0,27.033707865168537
0.0045600811134065,2.5781000187957493e-12,411467,16-0,21.34269662921348
0.003127982812385,3.5694604549538404e-12,411468,16-0,25.54494382022472
0.0139673158960878,2.1402646750632158e-12,411469,16-0,32.71348314606742
0.0013381701399214,5.545137663683392e-12,411470,16-0,25.56179775280899
0.0040435488091728,1.7112614790661058e-12,411471,16-0,21.780898876404493
0.0012881842951847,3.509429557167629e-12,411472,16-0,32.81460674157303
0.0008925142268915,3.3966759211320628e-12,411473,16-0,21.477528089887638
0.0012054025473488,5.376663947150449e-12,411474,16-0,18.9438202247191
0.0037139898834044,9.083752418815916e-13,411475,16-0,16.98876404494382
0.0005726954510532,4.866005716603247e-12,411479,16-0,31.095505617977526
0.0071428745912051,2.2711099231032696e-12,411483,16-0,35.48314606741573
0.0116380598939241,1.067642967796053e-12,411484,16-0,32.59550561797753
0.0097434984936506,1.5293194958985624e-12,411485,16-0,35.98876404494382
0.0056538814598423,1.7494526625002144e-12,411486,16-0,31.365168539325843
0.0022086362117109,3.226942117629953e-12,411487,16-0,30.325842696629213
0.0019045098037947,3.8248642261180416e-12,411489,16-0,29.325842696629213
0.0003624528499764,9.544529890915062e-12,411490,16-0,24.44943820224719
0.0011544841976237,4.362482923817522e-12,411902,16-0,29.1123595505618
0.0001781397475257,1.919790423689619e-11,411903,16-0,20.578651685393258
0.0013154096422285,9.248967018926405e-13,428125,16-0,17.34269662921348
0.0003184706747754,1.6417364052710214e-11,428126,16-0,26.0
0.0040023307113335,1.6985262936372404e-12,428127,16-0,26.331460674157302
0.0008016201324993,6.45027095245026e-12,428128,16-0,17.825842696629213
0.0016148070427639,0.0798914173707876,435591,16-0,25.679775280898877
0.0001123852643917,0.0057825565859347,442563,16-0,28.129213483146067
0.0001724835091585,0.020132401497663,445970,16-0,16.286516853932582
0.0053089102628303,5.289804280495363e-12,445972,16-0,19.573033707865168
0.000446298449985,5.4683790554838856e-12,445973,16-0,29.224719101123593
0.0007912892585071,5.377144161606763e-12,445975,16-0,29.870786516853933
0.0007820903230467,1.3909816246115472e-11,449673,16-0,23.46629213483146
0.0002886087848254,2.097927533046368e-11,451640,16-0,18.028089887640448
0.0036493916660467,9.866428455773108e-13,457387,16-0,45.741573033707866
0.0009627236948937,1.7147338273599169e-12,457388,16-0,41.26966292134831
0.0005597344449277,3.26861812610934e-12,457395,16-0,36.21910112359551
0.0342822468844571,1.6125903557099985e-13,457412,16-0,35.29775280898876
0.000376485836046,7.040648944836612e-12,457421,16-0,22.93820224719101
0.0002782244350422,0.0060330488406364,457424,16-0,28.280898876404493
0.0021328025899209,1.5216274552144624e-12,469589,16-0,44.955056179775276
0.0039880111262274,9.721900036066063e-13,469591,16-0,45.7247191011236
0.0013466724619056,1.4593716704945294e-12,469592,16-0,42.168539325842694
0.0001179489700667,2.303577247501576e-11,469593,16-0,33.81460674157303
0.0011997438521513,2.7370700086197957e-12,469596,16-0,22.48876404494382
0.0002156132937652,1.4472788269966256e-11,470145,16-0,16.89325842696629
0.0195713166932576,3.958501837114888e-12,470146,16-0,24.747191011235955
0.0013186476393212,8.306165724817627e-12,471875,16-0,20.977528089887638
0.0010013490161717,3.65732363018869e-12,476272,16-0,26.56179775280899
0.0010781367265735,7.655926826690059e-12,478749,16-0,24.5
0.003261695309192,0.1613885053906922,479437,16-0,27.0561797752809
0.0001949585394662,1.6441825348163826e-11,483216,16-0,21.382022471910112
0.0031513304487586,4.160718281952392e-12,483218,16-0,14.01123595505618
0.000278035058263,9.584642070589186e-12,484018,16-0,18.876404494382022
0.0027392227226277,2.0809843828484173e-12,500632,16-0,19.865168539325843
0.0015797090227587,5.1877359399628026e-12,511680,16-0,20.876404494382022
0.0363446049641123,6.204221228224502e-13,515619,16-0,32.10674157303371
0.0015210580981449,2.2700968052538934e-12,515620,16-0,21.926966292134832
0.0004524289462365,7.575535430242624e-12,518635,16-0,23.8876404494382
0.0009149703137784,3.534879014730383e-12,518636,16-0,29.117977528089888
0.0006660792360132,3.1366671711222437e-12,518637,16-0,23.696629213483146
